location,safety_rating,neighborhood,housing_type,bedrooms,bathrooms,beds,rental_type,cost_per_night,amenities,reviews,id
Boston,3.89,Mission Hill,Townhouse,1,1,2,Private room,100,"Pets allowed, Patio, Heating, Kitchen, WiFi, Dedicated workspace, Self check-in, Free parking",Felt like a home away from home; Great value for the price.,H135
Boston,4.96,Brighton,Loft,5,1,10,Shared room,125,"TV, Pool, Heating, Dryer, Pets allowed, Gym, WiFi",Comfortable beds; Amazing view; The place was sparkling clean.; Great value for the price.,H136
Boston,3.66,Bay Village,Townhouse,1,1,1,Private room,115,"Pool, Patio, Pets allowed, Air conditioning, Washer, Gym",Spacious and central; Great value for the price.; Comfortable beds; Close to public transport,H137
Boston,4.44,Beacon Hill,Townhouse,4,3,6,Private room,195,"Gym, Self check-in, Air conditioning, Washer, Heating","Easy check-in process.; Great value for the price.; Great host, very responsive",H138
Boston,3.64,Chinatown,Townhouse,5,3,8,Entire place,395,"Pool, Free parking, Heating, Patio, Pets allowed, Dryer, Washer, Air conditioning","Great host, very responsive; Clean and tidy; Close to public transport; Amazing view; Spacious and central",H139
Boston,4.55,Charlestown,Condo,5,1,5,Entire place,365,"Washer, Heating, Self check-in, Hot tub, Patio, Kitchen, Free parking, Pets allowed, WiFi",Felt like a home away from home; Close to public transport; Stylish and modern apartment.; Perfect for a weekend getaway; Great value for the price.,H140
Boston,4.14,Roslindale,Loft,3,1,6,Shared room,120,"Heating, Self check-in, Pool, TV",Great value for the price.; Stylish and modern apartment.,H141
Boston,4.55,Roslindale,Apartment,2,1,4,Private room,135,"WiFi, Dryer, Gym, Air conditioning, Heating","Host provided great local tips.; Close to public transport; Great host, very responsive",H142
Boston,3.58,Mattapan,Loft,3,2,4,Shared room,115,"Heating, WiFi, Pets allowed, Hot tub, Free parking, Dedicated workspace, Gym, Washer, TV","Clean and tidy; Perfect for a weekend getaway; Spacious and central; Amazing view; Great host, very responsive",H143
Boston,3.78,Beacon Hill,Townhouse,5,3,6,Shared room,170,"Self check-in, Gym, Dedicated workspace, Heating, Air conditioning",Clean and tidy; Felt like a home away from home,H144
Boston,3.7,Dorchester,House,3,1,3,Entire place,255,"Free parking, Dryer, Pool, Air conditioning, Kitchen, Patio, Washer, Pets allowed, Hot tub",Would definitely stay again; Perfect for a weekend getaway,H145
Boston,4.97,Brighton,Townhouse,3,1,6,Private room,135,"Washer, TV, Pets allowed, Heating, Pool, WiFi, Free parking, Kitchen, Gym, Self check-in",Host provided great local tips.; Quiet street,H146
Boston,4.7,Dorchester,Loft,5,1,8,Private room,200,"Patio, Self check-in, Hot tub, Free parking, Kitchen, Pool, Pets allowed, Gym",Would definitely stay again; Stylish and modern apartment.; Perfect for a weekend getaway,H147
Boston,3.61,West End,Townhouse,2,1,4,Shared room,70,"Kitchen, Heating, Pets allowed, Hot tub, Self check-in, Gym",Would definitely stay again; Perfect for a weekend getaway; Clean and tidy; Quiet street,H148
Boston,4.49,Jamaica Plain,Condo,4,1,7,Shared room,115,"Kitchen, Pets allowed, Washer, Dedicated workspace, Self check-in, Gym, TV, WiFi, Free parking, Pool",Quiet street; Close to public transport; The place was sparkling clean.; Stylish and modern apartment.; Spacious and central,H149
Boston,3.7,Beacon Hill,Condo,1,1,2,Private room,100,"WiFi, Free parking, Washer, Self check-in, Pets allowed, TV, Heating, Gym, Pool, Patio","Great value for the price.; Great host, very responsive",H150
Boston,3.88,Downtown,Townhouse,4,1,8,Entire place,290,"Heating, Dryer, Patio, Washer, Kitchen, Dedicated workspace, TV, Self check-in","Great host, very responsive; Amazing view; Host provided great local tips.",H151
Boston,3.89,Hyde Park,House,3,2,3,Entire place,280,"Washer, Dedicated workspace, Self check-in, Gym, Kitchen, Pool",Perfect for a weekend getaway; Clean and tidy; Stylish and modern apartment.; Host provided great local tips.,H152
Boston,4.75,Roxbury,House,3,2,3,Entire place,265,"Hot tub, Gym, Heating, Pets allowed, Washer, Pool, Patio","Perfect for a weekend getaway; Great host, very responsive; Clean and tidy",H153
Boston,4.64,Charlestown,Apartment,1,1,1,Shared room,80,"TV, Heating, Hot tub, WiFi",Would definitely stay again; Close to public transport; Spacious and central; Host provided great local tips.; Perfect for a weekend getaway,H154
Boston,4.3,Beacon Hill,Apartment,2,1,2,Private room,115,"WiFi, Air conditioning, Pool, Gym, TV",Spacious and central; Comfortable beds,H155
Boston,4.06,Allston,House,4,1,6,Shared room,140,"Heating, Kitchen, Washer, WiFi, Patio, Dedicated workspace, Free parking, TV",Easy check-in process.; Stylish and modern apartment.,H156
Boston,3.94,Dorchester,Loft,1,1,1,Private room,80,"Dryer, Heating, Dedicated workspace, Pool, Patio",Great value for the price.; Quiet street; Clean and tidy,H157
Boston,4.99,Mattapan,House,3,1,5,Shared room,90,"Heating, Pets allowed, TV, Patio, Gym",Clean and tidy; The place was sparkling clean.; Felt like a home away from home,H158
Boston,3.81,South End,Condo,5,4,9,Entire place,420,"Free parking, Dedicated workspace, WiFi, Self check-in, Kitchen, Hot tub, TV","Great host, very responsive; The place was sparkling clean.",H159
Boston,4.0,Downtown,Townhouse,3,1,6,Entire place,245,"Self check-in, Dryer, Air conditioning, Pool, Pets allowed, Heating, WiFi, Free parking",Spacious and central; Felt like a home away from home; Great value for the price.; Stylish and modern apartment.; The place was sparkling clean.,H160
Boston,3.72,South Boston,Loft,5,3,6,Shared room,150,"WiFi, Pool, Dedicated workspace, Patio, Free parking, Washer, Air conditioning, Kitchen, TV, Self check-in",Comfortable beds; Great value for the price.,H161
Boston,4.32,Jamaica Plain,Loft,4,2,8,Shared room,150,"Pool, Gym, Dedicated workspace, Air conditioning, Heating, TV, Pets allowed",Easy check-in process.; Stylish and modern apartment.,H162
Boston,4.22,Back Bay,House,5,2,7,Private room,225,"TV, Dryer, Kitchen, Heating, Patio, Pool, Hot tub, Washer, Free parking",Close to public transport; Host provided great local tips.; Spacious and central; Easy check-in process.; The place was sparkling clean.,H163
Boston,4.64,West Roxbury,Townhouse,1,1,2,Entire place,135,"Gym, Heating, TV, Dryer",The place was sparkling clean.; Spacious and central; Comfortable beds; Felt like a home away from home; Close to public transport,H164
Boston,4.35,Chinatown,Apartment,1,1,2,Private room,75,"Gym, Kitchen, Washer, WiFi, Pool",Comfortable beds; Quiet street,H165
Boston,4.66,Dorchester,Condo,3,1,4,Entire place,235,"WiFi, Dryer, Washer, Pool, Dedicated workspace, Self check-in, Hot tub, Kitchen",Great value for the price.; Close to public transport; Felt like a home away from home,H166
Boston,4.08,Roxbury,House,1,1,2,Shared room,75,"Heating, Dedicated workspace, TV, Self check-in, Dryer, Patio, Hot tub, Pets allowed",Would definitely stay again; Amazing view; Quiet street; Easy check-in process.,H167
Boston,4.39,Fenway-Kenmore,Townhouse,1,1,1,Private room,80,"Washer, Free parking, Dryer, Gym, WiFi, Dedicated workspace",Amazing view; Close to public transport; Host provided great local tips.; Perfect for a weekend getaway,H168
Boston,4.19,Brighton,House,2,1,2,Private room,105,"Dedicated workspace, Gym, Pool, Air conditioning, TV, Kitchen, WiFi, Dryer, Self check-in, Free parking",Great value for the price.; Clean and tidy; Comfortable beds; Stylish and modern apartment.; Spacious and central,H169
Boston,4.18,Roslindale,Loft,1,1,2,Private room,90,"Hot tub, Air conditioning, Washer, Self check-in",Perfect for a weekend getaway; Felt like a home away from home; Clean and tidy; Would definitely stay again; Stylish and modern apartment.,H170
Boston,4.34,West End,Loft,5,1,6,Entire place,370,"Gym, Pets allowed, Patio, WiFi, Hot tub, Free parking, Heating, Pool, Air conditioning, Dedicated workspace","Spacious and central; Great host, very responsive; Quiet street; Easy check-in process.",H171
Boston,4.41,Chinatown,Townhouse,5,2,8,Entire place,365,"Washer, Patio, Gym, Air conditioning, Pets allowed, WiFi, Heating, Dedicated workspace, TV",Perfect for a weekend getaway; Great value for the price.; Host provided great local tips.; Clean and tidy; Would definitely stay again,H172
Boston,4.01,Downtown,Condo,1,1,1,Private room,95,"Air conditioning, TV, Patio, Washer",Easy check-in process.; Spacious and central; Amazing view,H173
Boston,4.85,South End,Loft,4,1,8,Private room,195,"TV, Self check-in, Pool, Dryer, Washer, Free parking, Heating",Spacious and central; Great value for the price.; Clean and tidy,H174
Boston,4.62,Jamaica Plain,Condo,4,1,7,Entire place,310,"Kitchen, WiFi, Hot tub, Gym, Dedicated workspace","Great host, very responsive; Would definitely stay again",H175
Boston,3.89,Chinatown,Apartment,4,1,6,Private room,175,"Dedicated workspace, Free parking, Heating, Patio, Gym, Pool",Clean and tidy; Spacious and central; Would definitely stay again; Perfect for a weekend getaway,H176
Boston,4.38,South Boston,Loft,4,1,5,Entire place,315,"TV, Free parking, Pool, WiFi, Air conditioning, Gym, Hot tub","Host provided great local tips.; Easy check-in process.; Would definitely stay again; Clean and tidy; Great host, very responsive",H177
Boston,3.78,Roxbury,Condo,4,2,6,Entire place,350,"Self check-in, Hot tub, TV, Gym",Spacious and central; Stylish and modern apartment.; Amazing view; Great value for the price.; Would definitely stay again,H178
Boston,4.21,Jamaica Plain,Apartment,5,1,6,Shared room,125,"Heating, Air conditioning, Pets allowed, Pool, Dryer, Gym, WiFi, Free parking",Close to public transport; Felt like a home away from home,H179
Boston,4.35,Dorchester,Apartment,1,1,1,Entire place,160,"Kitchen, Pets allowed, Free parking, Dedicated workspace, Washer, Pool, TV, Hot tub, Heating","Quiet street; Stylish and modern apartment.; Great host, very responsive",H180
Boston,3.94,Brighton,Townhouse,5,1,6,Shared room,155,"Gym, Dedicated workspace, Air conditioning, Self check-in, Pets allowed",Felt like a home away from home; Stylish and modern apartment.; The place was sparkling clean.,H181
Boston,4.58,Fenway-Kenmore,Loft,2,1,3,Entire place,195,"Hot tub, Free parking, Dedicated workspace, Patio, Dryer",Close to public transport; Quiet street; Easy check-in process.,H182
Boston,4.16,Downtown,House,3,1,5,Shared room,120,"Free parking, Pool, Self check-in, Gym, Kitchen, Heating, Dryer, Hot tub, Air conditioning",Spacious and central; Perfect for a weekend getaway; Clean and tidy; Great value for the price.,H183
Boston,4.76,North End,Apartment,2,1,3,Shared room,80,"Patio, Dedicated workspace, Washer, Pool, WiFi, Pets allowed, Hot tub",Would definitely stay again; The place was sparkling clean.; Comfortable beds; Host provided great local tips.; Easy check-in process.,H184
Boston,4.62,Allston,Loft,1,1,1,Private room,100,"Dryer, Dedicated workspace, WiFi, Hot tub, Free parking, Kitchen, Air conditioning","Perfect for a weekend getaway; Easy check-in process.; Great host, very responsive",H185
Boston,4.15,South End,Townhouse,1,1,2,Entire place,155,"Washer, Free parking, Pool, Dryer, Dedicated workspace, Patio, Self check-in, Pets allowed, Kitchen, TV",Perfect for a weekend getaway; Amazing view,H186
Boston,4.58,West Roxbury,Townhouse,2,1,3,Private room,120,"WiFi, Free parking, Washer, Air conditioning",Quiet street; Great value for the price.; Easy check-in process.; Would definitely stay again,H187
Boston,3.92,West End,House,4,1,8,Shared room,130,"Kitchen, Hot tub, Self check-in, TV, Free parking, Dedicated workspace, Heating",Host provided great local tips.; Close to public transport; Clean and tidy,H188
Boston,4.84,Downtown,Townhouse,2,1,2,Entire place,220,"Air conditioning, WiFi, Self check-in, Pets allowed, Pool, Free parking, Kitchen, Heating, Patio","Felt like a home away from home; Close to public transport; Great host, very responsive; Perfect for a weekend getaway",H189
Boston,4.79,North End,House,1,1,1,Private room,75,"TV, Pets allowed, Air conditioning, Kitchen, Dedicated workspace, Heating, Free parking, Self check-in",Clean and tidy; Amazing view; Quiet street; The place was sparkling clean.; Would definitely stay again,H190
Boston,4.1,Mission Hill,Condo,4,1,4,Shared room,125,"Heating, Pool, TV, Self check-in, Gym, Dedicated workspace, Pets allowed, WiFi","Clean and tidy; Would definitely stay again; Amazing view; Great value for the price.; Great host, very responsive",H191
Boston,4.74,Downtown,Condo,1,1,1,Entire place,160,"Self check-in, Washer, Dryer, Kitchen, Pool, Dedicated workspace",Comfortable beds; Quiet street; Stylish and modern apartment.; Clean and tidy,H192
Boston,4.41,Downtown,House,1,1,1,Entire place,150,"Patio, TV, Heating, Dryer","Spacious and central; Would definitely stay again; Great host, very responsive; Amazing view",H193
Boston,3.71,Hyde Park,Loft,4,3,6,Shared room,155,"WiFi, Dedicated workspace, Kitchen, Air conditioning, Dryer, TV, Pool","Felt like a home away from home; Would definitely stay again; Great host, very responsive; Host provided great local tips.",H194
Boston,4.78,Fenway-Kenmore,Townhouse,2,1,4,Entire place,215,"Free parking, Pets allowed, Hot tub, Dedicated workspace",The place was sparkling clean.; Easy check-in process.; Felt like a home away from home; Perfect for a weekend getaway,H195
Boston,4.19,Chinatown,Apartment,2,1,4,Private room,110,"Dryer, Hot tub, Washer, Gym, Self check-in, Pets allowed, Heating, Patio, Pool",Would definitely stay again; Stylish and modern apartment.; Spacious and central,H196
Boston,3.79,South Boston,Condo,2,1,4,Shared room,100,"Pool, TV, Self check-in, WiFi, Dedicated workspace, Air conditioning, Free parking, Hot tub",Spacious and central; Amazing view; Would definitely stay again; Clean and tidy; Stylish and modern apartment.,H197
Boston,3.58,Bay Village,Condo,4,2,4,Shared room,140,"Air conditioning, WiFi, Pool, Patio, Kitchen",Would definitely stay again; Host provided great local tips.; Amazing view,H198
Boston,3.89,West End,Loft,4,1,7,Shared room,130,"Dedicated workspace, TV, Kitchen, Dryer, Washer, Pool, Gym, Patio",Spacious and central; Clean and tidy; Great value for the price.; Stylish and modern apartment.,H199
Boston,3.79,South Boston,Loft,5,2,9,Entire place,375,"Washer, Gym, Patio, Dryer",Spacious and central; Clean and tidy; Close to public transport; Quiet street; Would definitely stay again,H200
